method,dataset,trial,n_features,n_samples,converged,iterations,f_evals,cpu_time,residual,accuracy
CGPM,w1a.t,4,300,47272,true,2202,11830,122.524016100,9.895954e-12,0.911956
STTDFPM,w1a.t,4,300,47272,true,871,2376,24.522845000,9.338668e-12,0.911956
SOPP,w1a.t,5,300,47272,true,699,1905,19.614681900,9.984271e-12,0.911956
SDLP,w1a.t,5,300,47272,true,706,2722,28.641330100,9.649306e-12,0.911956
MOPCGM,w1a.t,5,300,47272,true,2490,4980,51.472694400,9.904249e-12,0.911956
CGPM,w1a.t,5,300,47272,true,2335,12541,134.134691200,9.875395e-12,0.911956
STTDFPM,w1a.t,5,300,47272,true,853,2316,24.119867500,9.539139e-12,0.911956
SOPP,w2a.t,1,300,46279,true,780,2236,22.966049400,9.469143e-12,0.911753
SDLP,w2a.t,1,300,46279,true,733,2766,27.942217200,9.613264e-12,0.911753
MOPCGM,w2a.t,1,300,46279,true,2491,4982,50.505086200,9.997491e-12,0.911753
CGPM,w2a.t,1,300,46279,true,2875,14987,151.952636600,9.881191e-12,0.911753
STTDFPM,w2a.t,1,300,46279,true,856,2318,23.620083100,9.835322e-12,0.911753
SOPP,w2a.t,2,300,46279,true,774,2239,22.523415200,9.649221e-12,0.911753
SDLP,w2a.t,2,300,46279,true,726,2745,27.872686500,9.670665e-12,0.911753
MOPCGM,w2a.t,2,300,46279,true,2486,4972,51.237343600,9.949687e-12,0.911753
CGPM,w2a.t,2,300,46279,true,2550,13151,132.565883400,9.977615e-12,0.911753
STTDFPM,w2a.t,2,300,46279,true,879,2344,23.678707800,9.855691e-12,0.911753
SOPP,w2a.t,3,300,46279,true,799,2316,23.304905900,9.967024e-12,0.911753
SDLP,w2a.t,3,300,46279,true,735,2774,27.974937200,9.602256e-12,0.911753
MOPCGM,w2a.t,3,300,46279,true,2502,5004,50.464170900,9.915398e-12,0.911753
CGPM,w2a.t,3,300,46279,true,3075,16038,160.788654900,9.936130e-12,0.911753
STTDFPM,w2a.t,3,300,46279,true,874,2365,23.888790200,8.975121e-12,0.911753
SOPP,w2a.t,4,300,46279,true,808,2368,23.895279300,9.738951e-12,0.911753
SDLP,w2a.t,4,300,46279,true,727,2759,27.654632500,9.890634e-12,0.911753
MOPCGM,w2a.t,4,300,46279,true,2495,4990,50.256133300,9.904269e-12,0.911753
CGPM,w2a.t,4,300,46279,true,2132,11450,114.519395600,9.822293e-12,0.911753
STTDFPM,w2a.t,4,300,46279,true,863,2353,23.914952700,9.755297e-12,0.911753
SOPP,w2a.t,5,300,46279,true,735,2084,21.172517200,9.680237e-12,0.911753
SDLP,w2a.t,5,300,46279,true,726,2769,28.313686700,9.594883e-12,0.911753
MOPCGM,w2a.t,5,300,46279,true,2489,4978,50.381802600,9.997376e-12,0.911753
CGPM,w2a.t,5,300,46279,true,2334,12541,126.331929700,9.783461e-12,0.911753
STTDFPM,w2a.t,5,300,46279,true,869,2313,23.504940300,9.442616e-12,0.911753
